date,BernalilloCountyM,BernalilloCountyS,McKinleyCountyM,McKinleyCountyS,EddyCountyM,EddyCountyS,ChavesCountyM,ChavesCountyS,OteroCountyM,OteroCountyS
"Feb 22, 2021",79 new cases in Bernalillo County,,4 new cases in McKinley County,,7 new cases in Eddy County,,3 new cases in Chaves County,,10 new cases in Otero County,
"Feb 22, 2021",,,,,,,,,,
"Feb 23, 2021",,,,,,,,,,
"Feb 23, 2021",,,,,,,,,,
"Feb 24, 2021",105 new cases in Bernalillo County,,3 new cases in McKinley County,,100 new cases in Eddy County,,19 new cases in Chaves County,,17 new cases in Otero County,
"Feb 24, 2021",,,,,,,,,,
"Feb 26, 2021",,,,,,,,,,
"Feb 26, 2021",,,,,,,,,,
"Feb 25, 2021",84 new cases in Bernalillo County,,10 new cases in McKinley County,,13 new cases in Eddy County,,10 new cases in Chaves County,,21 new cases in Otero County,
"Feb 25, 2021",,,,,,,,,,
"Feb 27, 2021",,,,,,,,,,
"Feb 27, 2021",,,,,,,,,,
"Feb 28, 2021",,,,,,,,,,
"Feb 28, 2021",,,,,,,,,,
,,,,,,,,,,
"Feb 15, 2021",65 new cases in Bernalillo County,,19 new cases in McKinley County,,13 new cases in Eddy County,,6 new cases in Chaves County,,4 new cases in Otero County,
"Feb 15, 2021",,,,,,,,,,
"Feb 13, 2021",,,,,,,,,,
"Feb 13, 2021",,,,,,,,,,
"Feb 12, 2021",127 new cases in Bernalillo County,,19 new cases in McKinley County,,10 new cases in Eddy County,,12 new cases in Chaves County,,8 new cases in Otero County,
"Feb 12, 2021",,,,,,,,,,
"Feb 13, 2021",,,,,,,,,,
"Feb 13, 2021",,,,,,,,,,
"Feb 11, 2021",111 new cases in Bernalillo County,,18 new cases in McKinley County,,16 new cases in Eddy County,,101 new cases in Chaves County,,24 new cases in Otero County,
"Feb 11, 2021",,,,,,,,,,
"Feb 10, 2021",122 new cases in Bernalillo County,,13 new cases in McKinley County,,20 new cases in Eddy County,,14 new cases in Chaves County,,22 new cases in Otero County,
"Feb 10, 2021",,,,,,,,,,
"Feb 14, 2021",,,,,,,,,,
"Feb 14, 2021",,,,,,,,,,
,,,,,,,,,,
"Feb 17, 2021",120 new cases in Bernalillo County,,7 new cases in McKinley County,,4 new cases in Eddy County,,3 new cases in Chaves County,,8 new cases in Otero County,
"Feb 17, 2021",,,,,,,,,,
"Feb 18, 2021",125 new cases in Bernalillo County,,18 new cases in McKinley County,,11 new cases in Eddy County,,5 new cases in Chaves County,,19 new cases in Otero County,
"Feb 18, 2021",,,,,,,,,,
"Feb 16, 2021",,,,,,,,,,
"Feb 16, 2021",,,,,,,,,,
"Feb 3, 2021",161 new cases in Bernalillo County,,51 new cases in McKinley County,,46 new cases in Eddy County,,37 new cases in Chaves County,,20 new cases in Otero County,
"Feb 3, 2021",,,,,,,,,,
"Feb 2, 2021",116 new cases in Bernalillo County,,25 new cases in McKinley County,,12 new cases in Eddy County,,3 new cases in Chaves County,,12 new cases in Otero County,
"Feb 2, 2021",,,,,,,,,,
"Feb 1, 2021",192 new cases in Bernalillo County,,32 new cases in McKinley County,,15 new cases in Eddy County,,6 new cases in Chaves County,,16 new cases in Otero County,
"Feb 1, 2021",,,,,,,,,,
"Feb 8, 2021",,,,,,,,,,
"Feb 8, 2021",,,,,,,,,,
"Feb 4, 2021",159 new cases in Bernalillo County,,23 new cases in McKinley County,,26 new cases in Eddy County,,18 new cases in Chaves County,,19 new cases in Otero County,
"Feb 4, 2021",,,,,,,,,,
,,,,,,,,,,
"Feb 6, 2021",,,,,,,,,,
"Feb 6, 2021",,,,,,,,,,
"Feb 5, 2021",,,,,,,,,,
"Feb 5, 2021",,,,,,,,,,
"Feb 7, 2021",,,,,,,,,,
"Feb 7, 2021",,,,,,,,,,
